# Aluminium oxide (Al2O3) - n, k=0
# Computed from the Sellmeier equation of
#   I. H. Malitson and M. J. Dodge, J. Opt. Soc. Am. 62, 1405 (1972),
#   i.e. CRYSTALLINE sapphire, ordinary ray - same dataset as
#   substrates/Sapphire.csv. A deposited (amorphous) alumina film has a
#   lower index than this: check before using it on a real film.
wl_nm,n,k
1460,1.747731,0.0
1465,1.747646,0.0
1470,1.747560,0.0
1475,1.747475,0.0
1480,1.747389,0.0
1485,1.747304,0.0
1490,1.747218,0.0
1495,1.747132,0.0
1500,1.747046,0.0
1505,1.746961,0.0
1510,1.746874,0.0
1515,1.746788,0.0
1520,1.746702,0.0
1525,1.746615,0.0
1530,1.746529,0.0
1535,1.746442,0.0
1540,1.746356,0.0
1545,1.746269,0.0
1550,1.746182,0.0
1555,1.746094,0.0
1560,1.746007,0.0
1565,1.745920,0.0
1570,1.745832,0.0
1575,1.745745,0.0
1580,1.745657,0.0
1585,1.745569,0.0
1590,1.745481,0.0
1595,1.745393,0.0
1600,1.745304,0.0
1605,1.745216,0.0
1610,1.745127,0.0
1615,1.745039,0.0
1620,1.744950,0.0
1625,1.744861,0.0
1630,1.744772,0.0
1635,1.744682,0.0
1640,1.744593,0.0
1645,1.744503,0.0
1650,1.744413,0.0
1655,1.744323,0.0
1660,1.744233,0.0
1665,1.744143,0.0
1670,1.744053,0.0
1675,1.743962,0.0
1680,1.743871,0.0
1685,1.743781,0.0
1690,1.743689,0.0
1695,1.743598,0.0
1700,1.743507,0.0
1705,1.743415,0.0
1710,1.743324,0.0
1715,1.743232,0.0
1720,1.743140,0.0
1725,1.743048,0.0
1730,1.742955,0.0
1735,1.742863,0.0
1740,1.742770,0.0
1745,1.742677,0.0
1750,1.742584,0.0
1755,1.742491,0.0
1760,1.742397,0.0
1765,1.742304,0.0
1770,1.742210,0.0
1775,1.742116,0.0
1780,1.742022,0.0
1785,1.741927,0.0
1790,1.741833,0.0
1795,1.741738,0.0
1800,1.741643,0.0
1805,1.741548,0.0
1810,1.741453,0.0
1815,1.741358,0.0
1820,1.741262,0.0
1825,1.741166,0.0
1830,1.741070,0.0
1835,1.740974,0.0
1840,1.740877,0.0
1845,1.740781,0.0
1850,1.740684,0.0
1855,1.740587,0.0
1860,1.740490,0.0
1865,1.740393,0.0
1870,1.740295,0.0
1875,1.740197,0.0
1880,1.740099,0.0
1885,1.740001,0.0
1890,1.739903,0.0
1895,1.739804,0.0
1900,1.739705,0.0
1905,1.739607,0.0
1910,1.739507,0.0
1915,1.739408,0.0
1920,1.739308,0.0
1925,1.739209,0.0
1930,1.739109,0.0
1935,1.739009,0.0
1940,1.738908,0.0
1945,1.738808,0.0
1950,1.738707,0.0
1955,1.738606,0.0
1960,1.738504,0.0
1965,1.738403,0.0
1970,1.738301,0.0
1975,1.738200,0.0
1980,1.738097,0.0
1985,1.737995,0.0
1990,1.737893,0.0
1995,1.737790,0.0
2000,1.737687,0.0
2005,1.737584,0.0
2010,1.737481,0.0
2015,1.737377,0.0
2020,1.737273,0.0
2025,1.737169,0.0
2030,1.737065,0.0
2035,1.736961,0.0
2040,1.736856,0.0
2045,1.736751,0.0
2050,1.736646,0.0
2055,1.736541,0.0
2060,1.736435,0.0
2065,1.736329,0.0
2070,1.736223,0.0
2075,1.736117,0.0
2080,1.736011,0.0
2085,1.735904,0.0
2090,1.735797,0.0
2095,1.735690,0.0
2100,1.735583,0.0
2105,1.735475,0.0
2110,1.735367,0.0
2115,1.735259,0.0
2120,1.735151,0.0
2125,1.735043,0.0
2130,1.734934,0.0
2135,1.734825,0.0
2140,1.734716,0.0
2145,1.734607,0.0
2150,1.734497,0.0
2155,1.734387,0.0
2160,1.734277,0.0
2165,1.734167,0.0
2170,1.734056,0.0
2175,1.733946,0.0
2180,1.733835,0.0
2185,1.733723,0.0
2190,1.733612,0.0
2195,1.733500,0.0
2200,1.733388,0.0
2205,1.733276,0.0
2210,1.733164,0.0
2215,1.733051,0.0
2220,1.732938,0.0
2225,1.732825,0.0
2230,1.732712,0.0
2235,1.732598,0.0
2240,1.732484,0.0
2245,1.732370,0.0
2250,1.732256,0.0
2255,1.732142,0.0
2260,1.732027,0.0
2265,1.731912,0.0
2270,1.731797,0.0
2275,1.731681,0.0
2280,1.731565,0.0
2285,1.731449,0.0
2290,1.731333,0.0
2295,1.731217,0.0
2300,1.731100,0.0
2305,1.730983,0.0
2310,1.730866,0.0
2315,1.730748,0.0
2320,1.730631,0.0
2325,1.730513,0.0
2330,1.730395,0.0
2335,1.730276,0.0
2340,1.730158,0.0
2345,1.730039,0.0
2350,1.729919,0.0
2355,1.729800,0.0
2360,1.729680,0.0
2365,1.729561,0.0
2370,1.729440,0.0
2375,1.729320,0.0
2380,1.729199,0.0
2385,1.729078,0.0
2390,1.728957,0.0
2395,1.728836,0.0
2400,1.728714,0.0
2405,1.728592,0.0
2410,1.728470,0.0
2415,1.728348,0.0
2420,1.728225,0.0
2425,1.728102,0.0
2430,1.727979,0.0
2435,1.727856,0.0
2440,1.727732,0.0
2445,1.727608,0.0
2450,1.727484,0.0
2455,1.727360,0.0
2460,1.727235,0.0
2465,1.727110,0.0
2470,1.726985,0.0
2475,1.726859,0.0
2480,1.726734,0.0
2485,1.726608,0.0
2490,1.726482,0.0
2495,1.726355,0.0
