# Thermal oxide on silicon - n, k=0
# Malitson 1965 fused-silica Sellmeier + a constant 0.0027: thermal oxide
# is denser than fused silica. The offset is empirical, not from a source.
wl_nm,n,k
1500,1.447284,0.000000
1505,1.447225,0.000000
1510,1.447166,0.000000
1515,1.447107,0.000000
1520,1.447047,0.000000
1525,1.446988,0.000000
1530,1.446929,0.000000
1535,1.446869,0.000000
1540,1.446810,0.000000
1545,1.446750,0.000000
1550,1.446690,0.000000
1555,1.446630,0.000000
1560,1.446570,0.000000
1565,1.446510,0.000000
1570,1.446450,0.000000
1575,1.446390,0.000000
1580,1.446329,0.000000
1585,1.446269,0.000000
1590,1.446208,0.000000
1595,1.446147,0.000000
1600,1.446086,0.000000
1605,1.446025,0.000000
1610,1.445964,0.000000
1615,1.445903,0.000000
1620,1.445842,0.000000
1625,1.445780,0.000000
1630,1.445719,0.000000
1635,1.445657,0.000000
1640,1.445595,0.000000
1645,1.445533,0.000000
1650,1.445471,0.000000
1655,1.445409,0.000000
1660,1.445346,0.000000
1665,1.445284,0.000000
1670,1.445221,0.000000
1675,1.445159,0.000000
1680,1.445096,0.000000
1685,1.445033,0.000000
1690,1.444970,0.000000
1695,1.444906,0.000000
1700,1.444843,0.000000
1705,1.444779,0.000000
1710,1.444716,0.000000
1715,1.444652,0.000000
1720,1.444588,0.000000
1725,1.444524,0.000000
1730,1.444459,0.000000
1735,1.444395,0.000000
1740,1.444331,0.000000
1745,1.444266,0.000000
1750,1.444201,0.000000
1755,1.444136,0.000000
1760,1.444071,0.000000
1765,1.444006,0.000000
1770,1.443940,0.000000
1775,1.443875,0.000000
1780,1.443809,0.000000
1785,1.443743,0.000000
1790,1.443677,0.000000
1795,1.443611,0.000000
1800,1.443545,0.000000
1805,1.443478,0.000000
1810,1.443412,0.000000
1815,1.443345,0.000000
1820,1.443278,0.000000
1825,1.443211,0.000000
1830,1.443144,0.000000
1835,1.443076,0.000000
1840,1.443009,0.000000
1845,1.442941,0.000000
