# Titanium dioxide (rutile) - ORDINARY ray - n, k
# n over 430-1530 nm from the Sellmeier equation of
#   J. R. Devore, J. Opt. Soc. Am. 41, 416 (1951).
# Below ~370 nm the band edge (n rising, k>0) is an empirical ramp with no
# published source: use the UV of this material with care.
# Rutile is birefringent: the extraordinary ray is NOT in this file.
wl_nm,n,k
1510,2.454377,0.000000
1515,2.454222,0.000000
1520,2.454069,0.000000
1525,2.453918,0.000000
1530,2.453769,0.000000
1535,2.453620,0.000000
1540,2.453474,0.000000
1545,2.453329,0.000000
1550,2.453185,0.000000
1555,2.453043,0.000000
1560,2.452902,0.000000
1565,2.452762,0.000000
1570,2.452624,0.000000
1575,2.452487,0.000000
1580,2.452352,0.000000
1585,2.452218,0.000000
1590,2.452085,0.000000
1595,2.451954,0.000000
1600,2.451824,0.000000
1605,2.451695,0.000000
1610,2.451567,0.000000
1615,2.451441,0.000000
1620,2.451315,0.000000
1625,2.451191,0.000000
1630,2.451069,0.000000
1635,2.450947,0.000000
1640,2.450826,0.000000
1645,2.450707,0.000000
1650,2.450589,0.000000
1655,2.450472,0.000000
1660,2.450356,0.000000
1665,2.450241,0.000000
1670,2.450127,0.000000
1675,2.450014,0.000000
1680,2.449902,0.000000
1685,2.449791,0.000000
1690,2.449681,0.000000
1695,2.449573,0.000000
1700,2.449465,0.000000
1705,2.449358,0.000000
1710,2.449252,0.000000
1715,2.449147,0.000000
1720,2.449043,0.000000
1725,2.448940,0.000000
1730,2.448838,0.000000
1735,2.448737,0.000000
1740,2.448637,0.000000
1745,2.448537,0.000000
1750,2.448439,0.000000
1755,2.448341,0.000000
1760,2.448244,0.000000
1765,2.448148,0.000000
1770,2.448053,0.000000
1775,2.447959,0.000000
1780,2.447865,0.000000
1785,2.447773,0.000000
1790,2.447681,0.000000
1795,2.447590,0.000000
1800,2.447500,0.000000
1805,2.447410,0.000000
1810,2.447321,0.000000
1815,2.447233,0.000000
1820,2.447146,0.000000
1825,2.447059,0.000000
1830,2.446974,0.000000
1835,2.446889,0.000000
1840,2.446804,0.000000
1845,2.446721,0.000000
1850,2.446638,0.000000
1855,2.446555,0.000000
1860,2.446474,0.000000
1865,2.446393,0.000000
1870,2.446313,0.000000
1875,2.446233,0.000000
1880,2.446154,0.000000
1885,2.446076,0.000000
1890,2.445998,0.000000
1895,2.445921,0.000000
1900,2.445845,0.000000
1905,2.445769,0.000000
1910,2.445694,0.000000
1915,2.445619,0.000000
1920,2.445545,0.000000
1925,2.445472,0.000000
1930,2.445399,0.000000
1935,2.445327,0.000000
1940,2.445255,0.000000
1945,2.445184,0.000000
1950,2.445113,0.000000
1955,2.445043,0.000000
1960,2.444974,0.000000
1965,2.444905,0.000000
1970,2.444837,0.000000
1975,2.444769,0.000000
1980,2.444702,0.000000
1985,2.444635,0.000000
1990,2.444569,0.000000
1995,2.444503,0.000000
2000,2.444438,0.000000
2005,2.444373,0.000000
2010,2.444309,0.000000
2015,2.444245,0.000000
2020,2.444182,0.000000
2025,2.444119,0.000000
2030,2.444056,0.000000
2035,2.443995,0.000000
2040,2.443933,0.000000
2045,2.443872,0.000000
2050,2.443812,0.000000
2055,2.443752,0.000000
2060,2.443692,0.000000
2065,2.443633,0.000000
2070,2.443574,0.000000
2075,2.443516,0.000000
2080,2.443458,0.000000
2085,2.443401,0.000000
2090,2.443344,0.000000
2095,2.443287,0.000000
2100,2.443231,0.000000
2105,2.443175,0.000000
2110,2.443120,0.000000
2115,2.443065,0.000000
2120,2.443010,0.000000
2125,2.442956,0.000000
2130,2.442903,0.000000
2135,2.442849,0.000000
2140,2.442796,0.000000
2145,2.442743,0.000000
2150,2.442691,0.000000
2155,2.442639,0.000000
2160,2.442588,0.000000
2165,2.442537,0.000000
2170,2.442486,0.000000
2175,2.442435,0.000000
2180,2.442385,0.000000
2185,2.442336,0.000000
2190,2.442286,0.000000
2195,2.442237,0.000000
2200,2.442189,0.000000
2205,2.442140,0.000000
2210,2.442092,0.000000
2215,2.442044,0.000000
2220,2.441997,0.000000
2225,2.441950,0.000000
2230,2.441903,0.000000
2235,2.441857,0.000000
